path,file_name,suffix,size_bytes,card_name_hits,keyword_hits,relevance_score
D:\02_AI_and_Data\Kaggle-AI-Agents\PTCG_AI_Battle_Challenge\notebooks\data\raw\Card_ID List_JP.pdf,Card_ID List_JP.pdf,.pdf,182284028,[],"[""card"", ""challenge"", ""ptcg"", ""battle""]",13
D:\02_AI_and_Data\Kaggle-AI-Agents\PTCG_AI_Battle_Challenge\data\raw\Card_ID List_JP.pdf,Card_ID List_JP.pdf,.pdf,182284028,[],"[""card"", ""challenge"", ""ptcg"", ""battle""]",13
D:\02_AI_and_Data\Kaggle-AI-Agents\PTCG_AI_Battle_Challenge\notebooks\data\raw\Card_ID List_EN.pdf,Card_ID List_EN.pdf,.pdf,137654485,[],"[""card"", ""challenge"", ""ptcg"", ""battle""]",13
D:\02_AI_and_Data\Kaggle-AI-Agents\PTCG_AI_Battle_Challenge\data\raw\Card_ID List_EN.pdf,Card_ID List_EN.pdf,.pdf,137654485,[],"[""card"", ""challenge"", ""ptcg"", ""battle""]",13
D:\02_AI_and_Data\Kaggle-AI-Agents\PTCG_AI_Battle_Challenge\reports\notebook52\section4\transcripts\T52_S005_battle_transcript.txt,T52_S005_battle_transcript.txt,.txt,3432,[],"[""challenge"", ""ptcg"", ""battle""]",5
D:\02_AI_and_Data\Kaggle-AI-Agents\PTCG_AI_Battle_Challenge\reports\notebook52\section4\transcripts\T52_S006_battle_transcript.txt,T52_S006_battle_transcript.txt,.txt,3167,[],"[""challenge"", ""ptcg"", ""battle""]",5
D:\02_AI_and_Data\Kaggle-AI-Agents\PTCG_AI_Battle_Challenge\reports\notebook52\section4\transcripts\T52_S001_battle_transcript.txt,T52_S001_battle_transcript.txt,.txt,2377,[],"[""challenge"", ""ptcg"", ""battle""]",5
D:\02_AI_and_Data\Kaggle-AI-Agents\PTCG_AI_Battle_Challenge\reports\notebook51\section6\section6f_first_full_battle_transcript.txt,section6f_first_full_battle_transcript.txt,.txt,2377,[],"[""challenge"", ""ptcg"", ""battle""]",5
D:\02_AI_and_Data\Kaggle-AI-Agents\PTCG_AI_Battle_Challenge\reports\notebook45\ppo_battle_transcript.txt,ppo_battle_transcript.txt,.txt,2116,[],"[""challenge"", ""ptcg"", ""battle""]",5
D:\02_AI_and_Data\Kaggle-AI-Agents\PTCG_AI_Battle_Challenge\reports\notebook52\section4\transcripts\T52_S002_battle_transcript.txt,T52_S002_battle_transcript.txt,.txt,2109,[],"[""challenge"", ""ptcg"", ""battle""]",5
D:\02_AI_and_Data\Kaggle-AI-Agents\PTCG_AI_Battle_Challenge\reports\notebook52\section4\transcripts\T52_S004_battle_transcript.txt,T52_S004_battle_transcript.txt,.txt,1843,[],"[""challenge"", ""ptcg"", ""battle""]",5
D:\02_AI_and_Data\Kaggle-AI-Agents\PTCG_AI_Battle_Challenge\reports\notebook52\section4\transcripts\T52_S008_battle_transcript.txt,T52_S008_battle_transcript.txt,.txt,1833,[],"[""challenge"", ""ptcg"", ""battle""]",5
D:\02_AI_and_Data\Kaggle-AI-Agents\PTCG_AI_Battle_Challenge\reports\notebook52\section4\transcripts\T52_S003_battle_transcript.txt,T52_S003_battle_transcript.txt,.txt,1576,[],"[""challenge"", ""ptcg"", ""battle""]",5
D:\02_AI_and_Data\Kaggle-AI-Agents\PTCG_AI_Battle_Challenge\reports\notebook12_battle_transcript.txt,notebook12_battle_transcript.txt,.txt,1065,[],"[""challenge"", ""ptcg"", ""battle""]",5
D:\02_AI_and_Data\Kaggle-AI-Agents\PTCG_AI_Battle_Challenge\reports\notebook47\competitive_policy_battle_transcript.txt,competitive_policy_battle_transcript.txt,.txt,1043,[],"[""challenge"", ""ptcg"", ""battle""]",5
D:\02_AI_and_Data\Kaggle-AI-Agents\PTCG_AI_Battle_Challenge\reports\notebook52\section4\transcripts\T52_S007_battle_transcript.txt,T52_S007_battle_transcript.txt,.txt,504,[],"[""challenge"", ""ptcg"", ""battle""]",5
D:\02_AI_and_Data\Kaggle-AI-Agents\PTCG_AI_Battle_Challenge\src_backup_before_bom_fix\card_database\README.md,README.md,.md,0,[],"[""card"", ""challenge"", ""ptcg"", ""battle""]",4
D:\02_AI_and_Data\Kaggle-AI-Agents\PTCG_AI_Battle_Challenge\src\card_database\README.md,README.md,.md,0,[],"[""card"", ""challenge"", ""ptcg"", ""battle""]",4
D:\02_AI_and_Data\Kaggle-AI-Agents\PTCG_AI_Battle_Challenge\reports\project_inventory_20260721_032255.txt,project_inventory_20260721_032255.txt,.txt,6036522,[],"[""challenge"", ""ptcg"", ""battle""]",3
D:\02_AI_and_Data\Kaggle-AI-Agents\PTCG_AI_Battle_Challenge\reports\notebook28\self_play_transcripts.txt,self_play_transcripts.txt,.txt,147992,[],"[""challenge"", ""ptcg"", ""battle""]",3
D:\02_AI_and_Data\Kaggle-AI-Agents\PTCG_AI_Battle_Challenge\reports\notebook48\baseline_agent_candidate_sources.txt,baseline_agent_candidate_sources.txt,.txt,74112,[],"[""challenge"", ""ptcg"", ""battle""]",3
D:\02_AI_and_Data\Kaggle-AI-Agents\PTCG_AI_Battle_Challenge\reports\notebook46\exact_search_adapter_sources.txt,exact_search_adapter_sources.txt,.txt,25968,[],"[""challenge"", ""ptcg"", ""battle""]",3
D:\02_AI_and_Data\Kaggle-AI-Agents\PTCG_AI_Battle_Challenge\reports\notebook45\critical_integration_definitions.txt,critical_integration_definitions.txt,.txt,13713,[],"[""challenge"", ""ptcg"", ""battle""]",3
D:\02_AI_and_Data\Kaggle-AI-Agents\PTCG_AI_Battle_Challenge\reports\notebook52\section5\expanded_transcripts\T52_S008__ENERGY_PRESSURE_transcript.txt,T52_S008__ENERGY_PRESSURE_transcript.txt,.txt,8143,[],"[""challenge"", ""ptcg"", ""battle""]",3
D:\02_AI_and_Data\Kaggle-AI-Agents\PTCG_AI_Battle_Challenge\reports\notebook52\section5\expanded_transcripts\T52_S005__ENERGY_PRESSURE_transcript.txt,T52_S005__ENERGY_PRESSURE_transcript.txt,.txt,8142,[],"[""challenge"", ""ptcg"", ""battle""]",3
D:\02_AI_and_Data\Kaggle-AI-Agents\PTCG_AI_Battle_Challenge\reports\notebook52\section5\expanded_transcripts\T52_S006__ENERGY_PRESSURE_transcript.txt,T52_S006__ENERGY_PRESSURE_transcript.txt,.txt,8142,[],"[""challenge"", ""ptcg"", ""battle""]",3
D:\02_AI_and_Data\Kaggle-AI-Agents\PTCG_AI_Battle_Challenge\reports\notebook15_report.txt,notebook15_report.txt,.txt,3917,[],"[""challenge"", ""ptcg"", ""battle""]",3
D:\02_AI_and_Data\Kaggle-AI-Agents\PTCG_AI_Battle_Challenge\reports\notebook52\section5\expanded_transcripts\T52_S005__BASELINE_transcript.txt,T52_S005__BASELINE_transcript.txt,.txt,3432,[],"[""challenge"", ""ptcg"", ""battle""]",3
D:\02_AI_and_Data\Kaggle-AI-Agents\PTCG_AI_Battle_Challenge\reports\notebook46\current_player_adapter_sources.txt,current_player_adapter_sources.txt,.txt,3412,[],"[""challenge"", ""ptcg"", ""battle""]",3
D:\02_AI_and_Data\Kaggle-AI-Agents\PTCG_AI_Battle_Challenge\reports\notebook52\section5\expanded_transcripts\T52_S006__BASELINE_transcript.txt,T52_S006__BASELINE_transcript.txt,.txt,3167,[],"[""challenge"", ""ptcg"", ""battle""]",3
