module,class,method,signature,parameter_names,parameter_count,replay_suitability_score,labeling_suitability_score
src.competitive.competitive_policy_agent,CompetitivePolicyAgent,choose_move,"(self, state: 'Any' = None, depth: 'int | None' = None, battle_state: 'Any' = None, **kwargs: 'Any') -> 'CompetitivePolicyDecision'","['state', 'depth', 'battle_state', 'kwargs']",4,4.0,15.0
src.competitive.competitive_policy_agent,CompetitivePolicyAgent,select_move,"(self, state: 'Any' = None, depth: 'int | None' = None, battle_state: 'Any' = None, **kwargs: 'Any') -> 'CompetitivePolicyDecision'","['state', 'depth', 'battle_state', 'kwargs']",4,4.0,15.0
src.competitive.competitive_policy_agent,CompetitivePolicyEngine,choose_move,"(self, battle_state: 'Any', legal_moves: 'Sequence[Any]') -> 'Any'","['battle_state', 'legal_moves']",2,2.0,15.0
src.competitive.competitive_policy_engine,CompetitivePolicyEngine,choose_move,"(self, battle_state: 'Any', legal_moves: 'Sequence[Any]') -> 'Any'","['battle_state', 'legal_moves']",2,2.0,15.0
src.engine.advanced_search,AdvancedSearchEngine,search_depth,"(self, state: 'State', depth: 'int', root_player: 'Optional[Player]' = None, clear_table: 'bool' = True, clear_killers: 'bool' = True, clear_history: 'bool' = True) -> 'SearchResult'","['state', 'depth', 'root_player', 'clear_table', 'clear_killers', 'clear_history']",6,2.0,15.0
src.engine.advanced_search,AdvancedSearchEngine,search_for_time,"(self, state, seconds=1.0, verbose=False, max_depth=100, clear_table=True, clear_killers=True, clear_history=True)","['state', 'seconds', 'verbose', 'max_depth', 'clear_table', 'clear_killers', 'clear_history']",7,2.0,15.0
src.competitive.competitive_policy_agent,CompetitivePolicyEngine,score_moves,"(self, battle_state: 'Any', legal_moves: 'Sequence[Any]') -> 'dict[str, Any]'","['battle_state', 'legal_moves']",2,2.0,11.0
src.competitive.competitive_policy_engine,CompetitivePolicyEngine,score_moves,"(self, battle_state: 'Any', legal_moves: 'Sequence[Any]') -> 'dict[str, Any]'","['battle_state', 'legal_moves']",2,2.0,11.0
src.engine.advanced_search,AdvancedSearchEngine,preview_move_order,"(self, state: 'State', root_player: 'Optional[Player]' = None, ply: 'int' = 0) -> 'List[Move]'","['state', 'root_player', 'ply']",3,2.0,9.0
src.competitive.competitive_policy_agent,CompetitivePolicyAgent,act,"(self, state: 'Any' = None, depth: 'int | None' = None, battle_state: 'Any' = None, **kwargs: 'Any') -> 'CompetitivePolicyDecision'","['state', 'depth', 'battle_state', 'kwargs']",4,4.0,8.0
src.engine.advanced_search,AdvancedSearchEngine,iterative_deepening,"(self, state: 'State', max_depth: 'int', root_player: 'Optional[Player]' = None, verbose: 'bool' = True, clear_table: 'bool' = True, clear_killers: 'bool' = True, clear_history: 'bool' = True) -> 'SearchResult'","['state', 'max_depth', 'root_player', 'verbose', 'clear_table', 'clear_killers', 'clear_history']",7,2.0,8.0
src.engine.advanced_search,AdvancedSearchEngine,clear_killer_moves,(self) -> 'None',[],0,0.0,6.0
src.engine.advanced_search,AdvancedSearchEngine,killer_move_count,(self) -> 'int',[],0,0.0,6.0
src.competitive.competitive_policy_engine,CompetitivePolicyNetwork,forward,"(self, state_features: 'torch.Tensor', move_features: 'torch.Tensor', action_mask: 'torch.Tensor') -> 'torch.Tensor'","['state_features', 'move_features', 'action_mask']",3,2.0,3.0
src.competitive.competitive_policy_engine,CompetitivePolicyNetwork,load_state_dict,"(self, state_dict: collections.abc.Mapping[str, typing.Any], strict: bool = True, assign: bool = False)","['state_dict', 'typing.Any]', 'strict', 'assign']",4,2.0,3.0
src.competitive.competitive_policy_engine,CompetitivePolicyNetwork,set_extra_state,"(self, state: Any) -> None",['state'],1,2.0,3.0
src.engine.advanced_search,AdvancedSearchEngine,clear_history_table,(self) -> 'None',[],0,0.0,3.0
src.engine.advanced_search,AdvancedSearchEngine,clear_transposition_table,(self) -> 'None',[],0,0.0,3.0
src.engine.advanced_search,AdvancedSearchEngine,get_history_entries,"(self) -> 'List[Tuple[Player, Hashable, int]]'",[],0,0.0,3.0
src.engine.advanced_search,AdvancedSearchEngine,get_history_score,"(self, player: 'Player', move: 'Move') -> 'int'","['player', 'move']",2,0.0,3.0
src.engine.advanced_search,AdvancedSearchEngine,get_principal_variation,(self) -> 'List[Move]',[],0,0.0,3.0
src.engine.advanced_search,AdvancedSearchEngine,history_table_size,(self) -> 'int',[],0,0.0,3.0
src.engine.advanced_search,AdvancedSearchEngine,transposition_table_size,(self) -> 'int',[],0,0.0,3.0
src.engine.advanced_search,SearchResult,as_dict,"(self, move_to_string: 'Optional[MoveToStringFn]' = None) -> 'Dict[str, Any]'",['move_to_string'],1,0.0,3.0
src.engine.advanced_search,SearchStats,as_dict,"(self) -> 'Dict[str, Any]'",[],0,0.0,3.0
src.engine.advanced_search,SearchStats,reset,(self) -> 'None',[],0,3.0,3.0
src.engine.advanced_search,SearchTimeLimit,elapsed,(self) -> 'float',[],0,0.0,3.0
src.engine.advanced_search,SearchTimeLimit,expired,(self) -> 'bool',[],0,0.0,3.0
src.engine.advanced_search,SearchTimeLimit,remaining,(self) -> 'float',[],0,0.0,3.0
src.engine.advanced_search,SearchTimeLimit,start,(self) -> 'None',[],0,0.0,3.0
src.competitive.competitive_policy_agent,CompetitivePolicyAgent,get_last_decision,(self) -> 'CompetitivePolicyDecision | None',[],0,0.0,0.0
src.competitive.competitive_policy_engine,CompetitivePolicyNetwork,add_module,"(self, name: str, module: Optional[ForwardRef('Module')]) -> None","['name', 'module']",2,0.0,0.0
src.competitive.competitive_policy_engine,CompetitivePolicyNetwork,apply,"(self, fn: collections.abc.Callable[['Module'], None]) -> Self","['fn', 'None]']",2,0.0,0.0
src.competitive.competitive_policy_engine,CompetitivePolicyNetwork,bfloat16,(self) -> Self,[],0,0.0,0.0
src.competitive.competitive_policy_engine,CompetitivePolicyNetwork,buffers,"(self, recurse: bool = True) -> collections.abc.Iterator[torch.Tensor]",['recurse'],1,0.0,0.0
src.competitive.competitive_policy_engine,CompetitivePolicyNetwork,children,(self) -> collections.abc.Iterator['Module'],[],0,0.0,0.0
src.competitive.competitive_policy_engine,CompetitivePolicyNetwork,compile,"(self, *args, **kwargs) -> None","['args', 'kwargs']",2,0.0,0.0
src.competitive.competitive_policy_engine,CompetitivePolicyNetwork,cpu,(self) -> Self,[],0,0.0,0.0
src.competitive.competitive_policy_engine,CompetitivePolicyNetwork,cuda,"(self, device: int | torch.device | None = None) -> Self",['device'],1,0.0,0.0
src.competitive.competitive_policy_engine,CompetitivePolicyNetwork,double,(self) -> Self,[],0,0.0,0.0
src.competitive.competitive_policy_engine,CompetitivePolicyNetwork,eval,(self) -> Self,[],0,0.0,0.0
src.competitive.competitive_policy_engine,CompetitivePolicyNetwork,extra_repr,(self) -> str,[],0,0.0,0.0
src.competitive.competitive_policy_engine,CompetitivePolicyNetwork,float,(self) -> Self,[],0,0.0,0.0
src.competitive.competitive_policy_engine,CompetitivePolicyNetwork,get_buffer,"(self, target: str) -> torch.Tensor",['target'],1,0.0,0.0
src.competitive.competitive_policy_engine,CompetitivePolicyNetwork,get_extra_state,(self) -> Any,[],0,0.0,0.0
src.competitive.competitive_policy_engine,CompetitivePolicyNetwork,get_parameter,"(self, target: str) -> torch.nn.parameter.Parameter",['target'],1,0.0,0.0
src.competitive.competitive_policy_engine,CompetitivePolicyNetwork,get_submodule,"(self, target: str) -> 'Module'",['target'],1,0.0,0.0
src.competitive.competitive_policy_engine,CompetitivePolicyNetwork,half,(self) -> Self,[],0,0.0,0.0
src.competitive.competitive_policy_engine,CompetitivePolicyNetwork,ipu,"(self, device: int | torch.device | None = None) -> Self",['device'],1,0.0,0.0
src.competitive.competitive_policy_engine,CompetitivePolicyNetwork,modules,"(self, remove_duplicate: bool = True) -> collections.abc.Iterator['Module']",['remove_duplicate'],1,0.0,0.0
src.competitive.competitive_policy_engine,CompetitivePolicyNetwork,mtia,"(self, device: int | torch.device | None = None) -> Self",['device'],1,0.0,0.0
src.competitive.competitive_policy_engine,CompetitivePolicyNetwork,named_buffers,"(self, prefix: str = '', recurse: bool = True, remove_duplicate: bool = True) -> collections.abc.Iterator[tuple[str, torch.Tensor]]","['prefix', 'recurse', 'remove_duplicate']",3,0.0,0.0
src.competitive.competitive_policy_engine,CompetitivePolicyNetwork,named_children,"(self) -> collections.abc.Iterator[tuple[str, 'Module']]",[],0,0.0,0.0
src.competitive.competitive_policy_engine,CompetitivePolicyNetwork,named_modules,"(self, memo: set['Module'] | None = None, prefix: str = '', remove_duplicate: bool = True)","['memo', 'prefix', 'remove_duplicate']",3,0.0,0.0
src.competitive.competitive_policy_engine,CompetitivePolicyNetwork,named_parameters,"(self, prefix: str = '', recurse: bool = True, remove_duplicate: bool = True) -> collections.abc.Iterator[tuple[str, torch.nn.parameter.Parameter]]","['prefix', 'recurse', 'remove_duplicate']",3,0.0,0.0
src.competitive.competitive_policy_engine,CompetitivePolicyNetwork,parameters,"(self, recurse: bool = True) -> collections.abc.Iterator[torch.nn.parameter.Parameter]",['recurse'],1,0.0,0.0
