mirror_pair_id,source_scenario_id,source_condition_id,source_turn_number,acting_card,opposing_card,acting_energy,opposing_energy,legal_moves,opponent_selected_move,player_selected_move,selected_move_agreement,opponent_confidence,player_confidence,confidence_difference_player_minus_opponent,absolute_confidence_difference,opponent_routing_reason,player_routing_reason,routing_reason_agreement,opponent_move_legal,player_move_legal,legality_agreement,opponent_fallback_used,player_fallback_used,fallback_agreement,context_match,pair_valid
4WC_PAIR_001,T52_S001__BASELINE,BASELINE,2,Eevee,Bulbasaur,3,3,"['Ascension', 'Quick Attack']",Quick Attack,Quick Attack,True,0.866,0.868,0.0020000000000000018,0.0020000000000000018,LEGAL_MODEL_PREDICTION,LEGAL_MODEL_PREDICTION,True,True,True,True,False,False,True,True,True
4WC_PAIR_002,T52_S001__BASELINE,BASELINE,4,Eevee,Bulbasaur,3,3,"['Ascension', 'Quick Attack']",Quick Attack,Quick Attack,True,0.866,0.868,0.0020000000000000018,0.0020000000000000018,LEGAL_MODEL_PREDICTION,LEGAL_MODEL_PREDICTION,True,True,True,True,False,False,True,True,True
4WC_PAIR_003,T52_S001__BASELINE,BASELINE,6,Eevee,Bulbasaur,3,3,"['Ascension', 'Quick Attack']",Quick Attack,Quick Attack,True,0.868,0.87,0.0020000000000000018,0.0020000000000000018,LEGAL_MODEL_PREDICTION,LEGAL_MODEL_PREDICTION,True,True,True,True,False,False,True,True,True
4WC_PAIR_004,T52_S001__BASELINE,BASELINE,8,Eevee,Bulbasaur,3,3,"['Ascension', 'Quick Attack']",Quick Attack,Quick Attack,True,0.87,0.872,0.0020000000000000018,0.0020000000000000018,LEGAL_MODEL_PREDICTION,LEGAL_MODEL_PREDICTION,True,True,True,True,False,False,True,True,True
4WC_PAIR_005,T52_S001__HP_PRESSURE,HP_PRESSURE,2,Eevee,Bulbasaur,3,3,"['Ascension', 'Quick Attack']",Quick Attack,Quick Attack,True,0.976,0.978,0.0020000000000000018,0.0020000000000000018,LEGAL_MODEL_PREDICTION,LEGAL_MODEL_PREDICTION,True,True,True,True,False,False,True,True,True
4WC_PAIR_006,T52_S001__HP_PRESSURE,HP_PRESSURE,4,Eevee,Bulbasaur,3,3,"['Ascension', 'Quick Attack']",Quick Attack,Quick Attack,True,0.976,0.978,0.0020000000000000018,0.0020000000000000018,LEGAL_MODEL_PREDICTION,LEGAL_MODEL_PREDICTION,True,True,True,True,False,False,True,True,True
4WC_PAIR_007,T52_S002__BASELINE,BASELINE,1,Eevee,Bulbasaur,3,3,"['Ascension', 'Quick Attack']",Quick Attack,Quick Attack,True,0.852,0.854,0.0020000000000000018,0.0020000000000000018,LEGAL_MODEL_PREDICTION,LEGAL_MODEL_PREDICTION,True,True,True,True,False,False,True,True,True
4WC_PAIR_008,T52_S002__BASELINE,BASELINE,3,Eevee,Bulbasaur,3,3,"['Ascension', 'Quick Attack']",Quick Attack,Quick Attack,True,0.866,0.868,0.0020000000000000018,0.0020000000000000018,LEGAL_MODEL_PREDICTION,LEGAL_MODEL_PREDICTION,True,True,True,True,False,False,True,True,True
4WC_PAIR_009,T52_S002__BASELINE,BASELINE,5,Eevee,Bulbasaur,3,3,"['Ascension', 'Quick Attack']",Quick Attack,Quick Attack,True,0.866,0.868,0.0020000000000000018,0.0020000000000000018,LEGAL_MODEL_PREDICTION,LEGAL_MODEL_PREDICTION,True,True,True,True,False,False,True,True,True
4WC_PAIR_010,T52_S002__BASELINE,BASELINE,7,Eevee,Bulbasaur,3,3,"['Ascension', 'Quick Attack']",Quick Attack,Quick Attack,True,0.868,0.87,0.0020000000000000018,0.0020000000000000018,LEGAL_MODEL_PREDICTION,LEGAL_MODEL_PREDICTION,True,True,True,True,False,False,True,True,True
4WC_PAIR_011,T52_S002__HP_PRESSURE,HP_PRESSURE,1,Eevee,Bulbasaur,3,3,"['Ascension', 'Quick Attack']",Quick Attack,Quick Attack,True,0.958,0.96,0.0020000000000000018,0.0020000000000000018,LEGAL_MODEL_PREDICTION,LEGAL_MODEL_PREDICTION,True,True,True,True,False,False,True,True,True
4WC_PAIR_012,T52_S002__HP_PRESSURE,HP_PRESSURE,3,Eevee,Bulbasaur,3,3,"['Ascension', 'Quick Attack']",Quick Attack,Quick Attack,True,0.976,0.978,0.0020000000000000018,0.0020000000000000018,LEGAL_MODEL_PREDICTION,LEGAL_MODEL_PREDICTION,True,True,True,True,False,False,True,True,True
4WC_PAIR_013,T52_S003__BASELINE,BASELINE,2,Eevee,Charmander,3,3,"['Ascension', 'Quick Attack']",Quick Attack,Quick Attack,True,0.866,0.868,0.0020000000000000018,0.0020000000000000018,LEGAL_MODEL_PREDICTION,LEGAL_MODEL_PREDICTION,True,True,True,True,False,False,True,True,True
4WC_PAIR_014,T52_S003__BASELINE,BASELINE,4,Eevee,Charmander,3,3,"['Ascension', 'Quick Attack']",Quick Attack,Quick Attack,True,0.866,0.868,0.0020000000000000018,0.0020000000000000018,LEGAL_MODEL_PREDICTION,LEGAL_MODEL_PREDICTION,True,True,True,True,False,False,True,True,True
4WC_PAIR_015,T52_S003__HP_PRESSURE,HP_PRESSURE,2,Eevee,Charmander,3,3,"['Ascension', 'Quick Attack']",Quick Attack,Quick Attack,True,0.974,0.976,0.0020000000000000018,0.0020000000000000018,LEGAL_MODEL_PREDICTION,LEGAL_MODEL_PREDICTION,True,True,True,True,False,False,True,True,True
4WC_PAIR_016,T52_S003__HP_PRESSURE,HP_PRESSURE,4,Eevee,Charmander,3,3,"['Ascension', 'Quick Attack']",Quick Attack,Quick Attack,True,0.974,0.976,0.0020000000000000018,0.0020000000000000018,LEGAL_MODEL_PREDICTION,LEGAL_MODEL_PREDICTION,True,True,True,True,False,False,True,True,True
4WC_PAIR_017,T52_S004__BASELINE,BASELINE,1,Eevee,Charmander,3,3,"['Ascension', 'Quick Attack']",Quick Attack,Quick Attack,True,0.852,0.854,0.0020000000000000018,0.0020000000000000018,LEGAL_MODEL_PREDICTION,LEGAL_MODEL_PREDICTION,True,True,True,True,False,False,True,True,True
4WC_PAIR_018,T52_S004__BASELINE,BASELINE,3,Eevee,Charmander,3,3,"['Ascension', 'Quick Attack']",Quick Attack,Quick Attack,True,0.866,0.868,0.0020000000000000018,0.0020000000000000018,LEGAL_MODEL_PREDICTION,LEGAL_MODEL_PREDICTION,True,True,True,True,False,False,True,True,True
4WC_PAIR_019,T52_S004__BASELINE,BASELINE,5,Eevee,Charmander,3,3,"['Ascension', 'Quick Attack']",Quick Attack,Quick Attack,True,0.866,0.868,0.0020000000000000018,0.0020000000000000018,LEGAL_MODEL_PREDICTION,LEGAL_MODEL_PREDICTION,True,True,True,True,False,False,True,True,True
4WC_PAIR_020,T52_S004__HP_PRESSURE,HP_PRESSURE,1,Eevee,Charmander,3,3,"['Ascension', 'Quick Attack']",Quick Attack,Quick Attack,True,0.956,0.958,0.0020000000000000018,0.0020000000000000018,LEGAL_MODEL_PREDICTION,LEGAL_MODEL_PREDICTION,True,True,True,True,False,False,True,True,True
4WC_PAIR_021,T52_S004__HP_PRESSURE,HP_PRESSURE,3,Eevee,Charmander,3,3,"['Ascension', 'Quick Attack']",Quick Attack,Quick Attack,True,0.974,0.976,0.0020000000000000018,0.0020000000000000018,LEGAL_MODEL_PREDICTION,LEGAL_MODEL_PREDICTION,True,True,True,True,False,False,True,True,True
4WC_PAIR_022,T52_S007__BASELINE,BASELINE,1,Eevee,Bulbasaur,3,3,"['Ascension', 'Quick Attack']",Quick Attack,Quick Attack,True,0.962,0.962,0.0,0.0,LEGAL_MODEL_PREDICTION,LEGAL_MODEL_PREDICTION,True,True,True,True,False,False,True,True,True
4WC_PAIR_023,T52_S007__HP_PRESSURE,HP_PRESSURE,1,Eevee,Bulbasaur,3,3,"['Ascension', 'Quick Attack']",Quick Attack,Quick Attack,True,0.962,0.962,0.0,0.0,LEGAL_MODEL_PREDICTION,LEGAL_MODEL_PREDICTION,True,True,True,True,False,False,True,True,True
