card_name,move_name,damage,source_records,unique_source_files,maximum_source_priority,source_files,damage_conflict,all_damage_values,is_existing_benchmark_move,trusted_source_available,source_agreement_sufficient,fixed_damage_supported,candidate_eligible,candidate_type
Bulbasaur,[0.28 0.2 1. 0. 0. 0. 0. 1.73],46.0,1,1,10,"[""D:\\02_AI_and_Data\\Kaggle-AI-Agents\\PTCG_AI_Battle_Challenge\\data\\competitive\\actor_relative_search_expert_dataset.parquet""]",False,[46.0],False,True,True,True,True,ADDITIONAL_SOURCE_BACKED_MOVE
Bulbasaur,"[0.28, 0.2, 1.0, 0.0, 0.0, 0.0, 0.0, 1.73]",46.0,1,1,10,"[""D:\\02_AI_and_Data\\Kaggle-AI-Agents\\PTCG_AI_Battle_Challenge\\data\\competitive\\actor_relative_search_expert_dataset.jsonl""]",False,[46.0],False,True,True,True,True,ADDITIONAL_SOURCE_BACKED_MOVE
Bulbasaur,[0.12 0.1 0. 0. 0. 0. 0. 0.52],30.0,1,1,10,"[""D:\\02_AI_and_Data\\Kaggle-AI-Agents\\PTCG_AI_Battle_Challenge\\data\\competitive\\actor_relative_search_expert_dataset.parquet""]",False,[30.0],False,True,True,True,True,ADDITIONAL_SOURCE_BACKED_MOVE
Bulbasaur,"[0.12, 0.1, 0.0, 0.0, 0.0, 0.0, 0.0, 0.52]",30.0,1,1,10,"[""D:\\02_AI_and_Data\\Kaggle-AI-Agents\\PTCG_AI_Battle_Challenge\\data\\competitive\\actor_relative_search_expert_dataset.jsonl""]",False,[30.0],False,True,True,True,True,ADDITIONAL_SOURCE_BACKED_MOVE
Bulbasaur,[0.28 0.2 0. 0. 0. 0. 0. 0.73],30.0,1,1,10,"[""D:\\02_AI_and_Data\\Kaggle-AI-Agents\\PTCG_AI_Battle_Challenge\\data\\competitive\\actor_relative_search_expert_dataset.parquet""]",False,[30.0],False,True,True,True,True,ADDITIONAL_SOURCE_BACKED_MOVE
Bulbasaur,"[0.28, 0.2, 0.0, 0.0, 0.0, 0.0, 0.0, 0.73]",30.0,1,1,10,"[""D:\\02_AI_and_Data\\Kaggle-AI-Agents\\PTCG_AI_Battle_Challenge\\data\\competitive\\actor_relative_search_expert_dataset.jsonl""]",False,[30.0],False,True,True,True,True,ADDITIONAL_SOURCE_BACKED_MOVE
Bulbasaur,[0.12 0.1 1. 0. 0. 0. 0. 1.52],28.0,1,1,10,"[""D:\\02_AI_and_Data\\Kaggle-AI-Agents\\PTCG_AI_Battle_Challenge\\data\\competitive\\actor_relative_search_expert_dataset.parquet""]",False,[28.0],False,True,True,True,True,ADDITIONAL_SOURCE_BACKED_MOVE
Bulbasaur,"[0.12, 0.1, 1.0, 0.0, 0.0, 0.0, 0.0, 1.52]",28.0,1,1,10,"[""D:\\02_AI_and_Data\\Kaggle-AI-Agents\\PTCG_AI_Battle_Challenge\\data\\competitive\\actor_relative_search_expert_dataset.jsonl""]",False,[28.0],False,True,True,True,True,ADDITIONAL_SOURCE_BACKED_MOVE
Bulbasaur,Bind Down,10.0,6,6,-5,"[""D:\\02_AI_and_Data\\Kaggle-AI-Agents\\PTCG_AI_Battle_Challenge\\reports\\notebook52\\section5\\section5b_expanded_turn_results.csv"", ""D:\\02_AI_and_Data\\Kaggle-AI-Agents\\PTCG_AI_Battle_Challenge\\reports\\notebook53\\section6\\section6e_tournament_replay_turns.csv"", ""D:\\02_AI_and_Data\\Kaggle-AI-Agents\\PTCG_AI_Battle_Challenge\\reports\\notebook54\\section4\\section4a_preferred_move_catalog.csv"", ""D:\\02_AI_and_Data\\Kaggle-AI-Agents\\PTCG_AI_Battle_Challenge\\reports\\notebook54\\section4\\section4a_safe_action_catalog.csv"", ""D:\\02_AI_and_Data\\Kaggle-AI-Agents\\PTCG_AI_Battle_Challenge\\reports\\notebook54\\section4\\section4a_simulator_supported_move_records.csv"", ""D:\\02_AI_and_Data\\Kaggle-AI-Agents\\PTCG_AI_Battle_Challenge\\reports\\notebook54\\section4\\section4r_verified_attack_energy_readiness.csv""]",True,"[1.0, 2.0, 10.0]",True,False,True,True,False,CURRENT_BENCHMARK_MOVE
Bulbasaur,151,103.0,1,1,-5,"[""D:\\02_AI_and_Data\\Kaggle-AI-Agents\\PTCG_AI_Battle_Challenge\\reports\\notebook54\\section4\\section4a_candidate_move_validation_summary.json""]",False,[103.0],False,False,True,True,False,REQUIRES_MANUAL_REVIEW
