scenario_id,condition_id,decision_number,turn_number,acting_side,acting_card,acting_energy,opposing_energy,legal_moves,legal_move_count,selected_move,routing_reason,confidence,selected_move_is_legal
T52_S001__BASELINE,BASELINE,2,2,Opponent,Eevee,3.0,3.0,"['Ascension', 'Quick Attack']",2,Quick Attack,LEGAL_MODEL_PREDICTION,0.868,True
T52_S001__BASELINE,BASELINE,4,4,Opponent,Eevee,3.0,3.0,"['Ascension', 'Quick Attack']",2,Quick Attack,LEGAL_MODEL_PREDICTION,0.868,True
T52_S001__BASELINE,BASELINE,6,6,Opponent,Eevee,3.0,3.0,"['Ascension', 'Quick Attack']",2,Quick Attack,LEGAL_MODEL_PREDICTION,0.978,True
T52_S001__BASELINE,BASELINE,8,8,Opponent,Eevee,3.0,3.0,"['Ascension', 'Quick Attack']",2,Quick Attack,LEGAL_MODEL_PREDICTION,0.992,True
T52_S001__HP_PRESSURE,HP_PRESSURE,2,2,Opponent,Eevee,3.0,3.0,"['Ascension', 'Quick Attack']",2,Quick Attack,LEGAL_MODEL_PREDICTION,0.978,True
T52_S001__HP_PRESSURE,HP_PRESSURE,4,4,Opponent,Eevee,3.0,3.0,"['Ascension', 'Quick Attack']",2,Quick Attack,LEGAL_MODEL_PREDICTION,0.98,True
T52_S002__BASELINE,BASELINE,1,1,Opponent,Eevee,3.0,3.0,"['Ascension', 'Quick Attack']",2,Quick Attack,LEGAL_MODEL_PREDICTION,0.852,True
T52_S002__BASELINE,BASELINE,3,3,Opponent,Eevee,3.0,3.0,"['Ascension', 'Quick Attack']",2,Quick Attack,LEGAL_MODEL_PREDICTION,0.88,True
T52_S002__BASELINE,BASELINE,5,5,Opponent,Eevee,3.0,3.0,"['Ascension', 'Quick Attack']",2,Quick Attack,LEGAL_MODEL_PREDICTION,0.98,True
T52_S002__BASELINE,BASELINE,7,7,Opponent,Eevee,3.0,3.0,"['Ascension', 'Quick Attack']",2,Quick Attack,LEGAL_MODEL_PREDICTION,0.994,True
T52_S002__HP_PRESSURE,HP_PRESSURE,1,1,Opponent,Eevee,3.0,3.0,"['Ascension', 'Quick Attack']",2,Quick Attack,LEGAL_MODEL_PREDICTION,0.958,True
T52_S002__HP_PRESSURE,HP_PRESSURE,3,3,Opponent,Eevee,3.0,3.0,"['Ascension', 'Quick Attack']",2,Quick Attack,LEGAL_MODEL_PREDICTION,0.98,True
T52_S003__BASELINE,BASELINE,2,2,Opponent,Eevee,3.0,3.0,"['Ascension', 'Quick Attack']",2,Quick Attack,LEGAL_MODEL_PREDICTION,0.868,True
T52_S003__BASELINE,BASELINE,4,4,Opponent,Eevee,3.0,3.0,"['Ascension', 'Quick Attack']",2,Quick Attack,LEGAL_MODEL_PREDICTION,0.866,True
T52_S003__HP_PRESSURE,HP_PRESSURE,2,2,Opponent,Eevee,3.0,3.0,"['Ascension', 'Quick Attack']",2,Quick Attack,LEGAL_MODEL_PREDICTION,0.962,True
T52_S003__HP_PRESSURE,HP_PRESSURE,4,4,Opponent,Eevee,3.0,3.0,"['Ascension', 'Quick Attack']",2,Quick Attack,LEGAL_MODEL_PREDICTION,0.962,True
T52_S004__BASELINE,BASELINE,1,1,Opponent,Eevee,3.0,3.0,"['Ascension', 'Quick Attack']",2,Quick Attack,LEGAL_MODEL_PREDICTION,0.852,True
T52_S004__BASELINE,BASELINE,3,3,Opponent,Eevee,3.0,3.0,"['Ascension', 'Quick Attack']",2,Quick Attack,LEGAL_MODEL_PREDICTION,0.868,True
T52_S004__BASELINE,BASELINE,5,5,Opponent,Eevee,3.0,3.0,"['Ascension', 'Quick Attack']",2,Quick Attack,LEGAL_MODEL_PREDICTION,0.95,True
T52_S004__HP_PRESSURE,HP_PRESSURE,1,1,Opponent,Eevee,3.0,3.0,"['Ascension', 'Quick Attack']",2,Quick Attack,LEGAL_MODEL_PREDICTION,0.956,True
T52_S004__HP_PRESSURE,HP_PRESSURE,3,3,Opponent,Eevee,3.0,3.0,"['Ascension', 'Quick Attack']",2,Quick Attack,LEGAL_MODEL_PREDICTION,0.98,True
T52_S007__BASELINE,BASELINE,1,1,Opponent,Eevee,3.0,3.0,"['Ascension', 'Quick Attack']",2,Quick Attack,LEGAL_MODEL_PREDICTION,0.962,True
T52_S007__HP_PRESSURE,HP_PRESSURE,1,1,Opponent,Eevee,3.0,3.0,"['Ascension', 'Quick Attack']",2,Quick Attack,LEGAL_MODEL_PREDICTION,0.962,True
