path,file_name,suffix,size_bytes,card_name_hits,keyword_hits,relevance_score
D:\02_AI_and_Data\Kaggle-AI-Agents\PTCG_AI_Battle_Challenge\notebooks\data\raw\Card_ID List_JP.pdf,Card_ID List_JP.pdf,.pdf,182284028,[],"[""card"", ""challenge"", ""ptcg"", ""battle""]",13
D:\02_AI_and_Data\Kaggle-AI-Agents\PTCG_AI_Battle_Challenge\data\raw\Card_ID List_JP.pdf,Card_ID List_JP.pdf,.pdf,182284028,[],"[""card"", ""challenge"", ""ptcg"", ""battle""]",13
D:\02_AI_and_Data\Kaggle-AI-Agents\PTCG_AI_Battle_Challenge\notebooks\data\raw\Card_ID List_EN.pdf,Card_ID List_EN.pdf,.pdf,137654485,[],"[""card"", ""challenge"", ""ptcg"", ""battle""]",13
D:\02_AI_and_Data\Kaggle-AI-Agents\PTCG_AI_Battle_Challenge\data\raw\Card_ID List_EN.pdf,Card_ID List_EN.pdf,.pdf,137654485,[],"[""card"", ""challenge"", ""ptcg"", ""battle""]",13
D:\02_AI_and_Data\Kaggle-AI-Agents\PTCG_AI_Battle_Challenge\reports\notebook54\section4\section4o_official_card_image_contact_sheet.png,section4o_official_card_image_contact_sheet.png,.png,1886502,[],"[""card"", ""image"", ""challenge"", ""ptcg"", ""battle""]",11
D:\02_AI_and_Data\Kaggle-AI-Agents\PTCG_AI_Battle_Challenge\data\raw\kaggle_sample_submission\submission.tar.gz,submission.tar.gz,.gz,1058289,[],"[""challenge"", ""ptcg"", ""battle""]",8
D:\02_AI_and_Data\Kaggle-AI-Agents\PTCG_AI_Battle_Challenge\notebooks\06_pdf_reference_validation.ipynb,06_pdf_reference_validation.ipynb,.ipynb,495299,[],"[""reference"", ""challenge"", ""ptcg"", ""battle""]",6
D:\02_AI_and_Data\Kaggle-AI-Agents\PTCG_AI_Battle_Challenge\notebooks\34_policy_dataset_generation.ipynb,34_policy_dataset_generation.ipynb,.ipynb,191403,[],"[""set"", ""challenge"", ""ptcg"", ""battle""]",6
D:\02_AI_and_Data\Kaggle-AI-Agents\PTCG_AI_Battle_Challenge\notebooks\35_policy_dataset_enrichment.ipynb,35_policy_dataset_enrichment.ipynb,.ipynb,129679,[],"[""set"", ""challenge"", ""ptcg"", ""battle""]",6
D:\02_AI_and_Data\Kaggle-AI-Agents\PTCG_AI_Battle_Challenge\notebooks\17_official_card_knowledge_base.ipynb,17_official_card_knowledge_base.ipynb,.ipynb,107722,[],"[""card"", ""challenge"", ""ptcg"", ""battle""]",6
D:\02_AI_and_Data\Kaggle-AI-Agents\PTCG_AI_Battle_Challenge\notebooks\39_production_dataset_loader.ipynb,39_production_dataset_loader.ipynb,.ipynb,104738,[],"[""set"", ""challenge"", ""ptcg"", ""battle""]",6
D:\02_AI_and_Data\Kaggle-AI-Agents\PTCG_AI_Battle_Challenge\notebooks\36_production_training_dataset_builder.ipynb,36_production_training_dataset_builder.ipynb,.ipynb,102030,[],"[""set"", ""challenge"", ""ptcg"", ""battle""]",6
D:\02_AI_and_Data\Kaggle-AI-Agents\PTCG_AI_Battle_Challenge\notebooks\40_ppo_dataset_interface.ipynb,40_ppo_dataset_interface.ipynb,.ipynb,86088,[],"[""set"", ""challenge"", ""ptcg"", ""battle""]",6
D:\02_AI_and_Data\Kaggle-AI-Agents\PTCG_AI_Battle_Challenge\notebooks\02_compare_english_japanese_datasets.ipynb,02_compare_english_japanese_datasets.ipynb,.ipynb,80741,[],"[""set"", ""challenge"", ""ptcg"", ""battle""]",6
D:\02_AI_and_Data\Kaggle-AI-Agents\PTCG_AI_Battle_Challenge\notebooks\04_card_knowledge_base.ipynb,04_card_knowledge_base.ipynb,.ipynb,71885,[],"[""card"", ""challenge"", ""ptcg"", ""battle""]",6
D:\02_AI_and_Data\Kaggle-AI-Agents\PTCG_AI_Battle_Challenge\notebooks\29_replay_dataset_analysis_opponent_diversity.ipynb,29_replay_dataset_analysis_opponent_diversity.ipynb,.ipynb,64090,[],"[""set"", ""challenge"", ""ptcg"", ""battle""]",6
D:\02_AI_and_Data\Kaggle-AI-Agents\PTCG_AI_Battle_Challenge\notebooks\37_production_training_dataset_builder.ipynb,37_production_training_dataset_builder.ipynb,.ipynb,57252,[],"[""set"", ""challenge"", ""ptcg"", ""battle""]",6
D:\02_AI_and_Data\Kaggle-AI-Agents\PTCG_AI_Battle_Challenge\notebooks\01_dataset_exploration.ipynb,01_dataset_exploration.ipynb,.ipynb,35870,[],"[""set"", ""challenge"", ""ptcg"", ""battle""]",6
D:\02_AI_and_Data\Kaggle-AI-Agents\PTCG_AI_Battle_Challenge\notebooks\07_battle_engine.ipynb,07_battle_engine.ipynb,.ipynb,470047,[],"[""challenge"", ""ptcg"", ""battle""]",5
D:\02_AI_and_Data\Kaggle-AI-Agents\PTCG_AI_Battle_Challenge\notebooks\21_kaggle_battle_agent.ipynb,21_kaggle_battle_agent.ipynb,.ipynb,155078,[],"[""challenge"", ""ptcg"", ""battle""]",5
D:\02_AI_and_Data\Kaggle-AI-Agents\PTCG_AI_Battle_Challenge\submission\ptcg_final_agent.zip,ptcg_final_agent.zip,.zip,124458,[],"[""challenge"", ""ptcg"", ""battle""]",5
D:\02_AI_and_Data\Kaggle-AI-Agents\PTCG_AI_Battle_Challenge\notebooks\19_battle_feature_extraction.ipynb,19_battle_feature_extraction.ipynb,.ipynb,110825,[],"[""challenge"", ""ptcg"", ""battle""]",5
D:\02_AI_and_Data\Kaggle-AI-Agents\PTCG_AI_Battle_Challenge\notebooks\09_strategic_battle_ai.ipynb,09_strategic_battle_ai.ipynb,.ipynb,95340,[],"[""challenge"", ""ptcg"", ""battle""]",5
D:\02_AI_and_Data\Kaggle-AI-Agents\PTCG_AI_Battle_Challenge\notebooks\12_integrated_battle_agent.ipynb,12_integrated_battle_agent.ipynb,.ipynb,55728,[],"[""challenge"", ""ptcg"", ""battle""]",5
D:\02_AI_and_Data\Kaggle-AI-Agents\PTCG_AI_Battle_Challenge\reports\notebook52\section4\transcripts\T52_S005_battle_transcript.txt,T52_S005_battle_transcript.txt,.txt,3432,[],"[""challenge"", ""ptcg"", ""battle""]",5
D:\02_AI_and_Data\Kaggle-AI-Agents\PTCG_AI_Battle_Challenge\reports\notebook52\section4\transcripts\T52_S006_battle_transcript.txt,T52_S006_battle_transcript.txt,.txt,3167,[],"[""challenge"", ""ptcg"", ""battle""]",5
D:\02_AI_and_Data\Kaggle-AI-Agents\PTCG_AI_Battle_Challenge\reports\notebook52\section4\transcripts\T52_S001_battle_transcript.txt,T52_S001_battle_transcript.txt,.txt,2377,[],"[""challenge"", ""ptcg"", ""battle""]",5
D:\02_AI_and_Data\Kaggle-AI-Agents\PTCG_AI_Battle_Challenge\reports\notebook51\section6\section6f_first_full_battle_transcript.txt,section6f_first_full_battle_transcript.txt,.txt,2377,[],"[""challenge"", ""ptcg"", ""battle""]",5
D:\02_AI_and_Data\Kaggle-AI-Agents\PTCG_AI_Battle_Challenge\reports\notebook45\ppo_battle_transcript.txt,ppo_battle_transcript.txt,.txt,2116,[],"[""challenge"", ""ptcg"", ""battle""]",5
D:\02_AI_and_Data\Kaggle-AI-Agents\PTCG_AI_Battle_Challenge\reports\notebook52\section4\transcripts\T52_S002_battle_transcript.txt,T52_S002_battle_transcript.txt,.txt,2109,[],"[""challenge"", ""ptcg"", ""battle""]",5
