card_name,move_name,damage,source_records,unique_source_files,maximum_source_priority,source_files,damage_conflict,all_damage_values,is_existing_benchmark_move,trusted_source_available,source_agreement_sufficient,fixed_damage_supported,candidate_eligible,candidate_type
Bulbasaur,[0.28 0.2 1. 0. 0. 0. 0. 1.73],46.0,1,1,10,"[""D:\\02_AI_and_Data\\Kaggle-AI-Agents\\PTCG_AI_Battle_Challenge\\data\\competitive\\actor_relative_search_expert_dataset.parquet""]",False,[46.0],False,True,True,True,True,ADDITIONAL_SOURCE_BACKED_MOVE
Bulbasaur,"[0.28, 0.2, 1.0, 0.0, 0.0, 0.0, 0.0, 1.73]",46.0,1,1,10,"[""D:\\02_AI_and_Data\\Kaggle-AI-Agents\\PTCG_AI_Battle_Challenge\\data\\competitive\\actor_relative_search_expert_dataset.jsonl""]",False,[46.0],False,True,True,True,True,ADDITIONAL_SOURCE_BACKED_MOVE
Bulbasaur,[0.12 0.1 0. 0. 0. 0. 0. 0.52],30.0,1,1,10,"[""D:\\02_AI_and_Data\\Kaggle-AI-Agents\\PTCG_AI_Battle_Challenge\\data\\competitive\\actor_relative_search_expert_dataset.parquet""]",False,[30.0],False,True,True,True,True,ADDITIONAL_SOURCE_BACKED_MOVE
Bulbasaur,"[0.12, 0.1, 0.0, 0.0, 0.0, 0.0, 0.0, 0.52]",30.0,1,1,10,"[""D:\\02_AI_and_Data\\Kaggle-AI-Agents\\PTCG_AI_Battle_Challenge\\data\\competitive\\actor_relative_search_expert_dataset.jsonl""]",False,[30.0],False,True,True,True,True,ADDITIONAL_SOURCE_BACKED_MOVE
Bulbasaur,[0.28 0.2 0. 0. 0. 0. 0. 0.73],30.0,1,1,10,"[""D:\\02_AI_and_Data\\Kaggle-AI-Agents\\PTCG_AI_Battle_Challenge\\data\\competitive\\actor_relative_search_expert_dataset.parquet""]",False,[30.0],False,True,True,True,True,ADDITIONAL_SOURCE_BACKED_MOVE
Bulbasaur,"[0.28, 0.2, 0.0, 0.0, 0.0, 0.0, 0.0, 0.73]",30.0,1,1,10,"[""D:\\02_AI_and_Data\\Kaggle-AI-Agents\\PTCG_AI_Battle_Challenge\\data\\competitive\\actor_relative_search_expert_dataset.jsonl""]",False,[30.0],False,True,True,True,True,ADDITIONAL_SOURCE_BACKED_MOVE
Bulbasaur,[0.12 0.1 1. 0. 0. 0. 0. 1.52],28.0,1,1,10,"[""D:\\02_AI_and_Data\\Kaggle-AI-Agents\\PTCG_AI_Battle_Challenge\\data\\competitive\\actor_relative_search_expert_dataset.parquet""]",False,[28.0],False,True,True,True,True,ADDITIONAL_SOURCE_BACKED_MOVE
Bulbasaur,"[0.12, 0.1, 1.0, 0.0, 0.0, 0.0, 0.0, 1.52]",28.0,1,1,10,"[""D:\\02_AI_and_Data\\Kaggle-AI-Agents\\PTCG_AI_Battle_Challenge\\data\\competitive\\actor_relative_search_expert_dataset.jsonl""]",False,[28.0],False,True,True,True,True,ADDITIONAL_SOURCE_BACKED_MOVE
Charmander,[0.08 0.1 0. 0. 0. 0. 0. 0.38],50.0,1,1,10,"[""D:\\02_AI_and_Data\\Kaggle-AI-Agents\\PTCG_AI_Battle_Challenge\\data\\competitive\\actor_relative_search_expert_dataset.parquet""]",False,[50.0],False,True,True,True,True,ADDITIONAL_SOURCE_BACKED_MOVE
Charmander,"[0.08, 0.1, 0.0, 0.0, 0.0, 0.0, 0.0, 0.38]",50.0,1,1,10,"[""D:\\02_AI_and_Data\\Kaggle-AI-Agents\\PTCG_AI_Battle_Challenge\\data\\competitive\\actor_relative_search_expert_dataset.jsonl""]",False,[50.0],False,True,True,True,True,ADDITIONAL_SOURCE_BACKED_MOVE
Charmander,[0.2 0.2 0. 0. 0. 0. 0. 0.55],50.0,1,1,10,"[""D:\\02_AI_and_Data\\Kaggle-AI-Agents\\PTCG_AI_Battle_Challenge\\data\\competitive\\actor_relative_search_expert_dataset.parquet""]",False,[50.0],False,True,True,True,True,ADDITIONAL_SOURCE_BACKED_MOVE
Charmander,"[0.2, 0.2, 0.0, 0.0, 0.0, 0.0, 0.0, 0.55]",50.0,1,1,10,"[""D:\\02_AI_and_Data\\Kaggle-AI-Agents\\PTCG_AI_Battle_Challenge\\data\\competitive\\actor_relative_search_expert_dataset.jsonl""]",False,[50.0],False,True,True,True,True,ADDITIONAL_SOURCE_BACKED_MOVE
Charmander,[0.2 0.2 1. 0. 0. 0. 0. 1.55],20.0,1,1,10,"[""D:\\02_AI_and_Data\\Kaggle-AI-Agents\\PTCG_AI_Battle_Challenge\\data\\competitive\\actor_relative_search_expert_dataset.parquet""]",False,[20.0],False,True,True,True,True,ADDITIONAL_SOURCE_BACKED_MOVE
Charmander,"[0.2, 0.2, 1.0, 0.0, 0.0, 0.0, 0.0, 1.55]",20.0,1,1,10,"[""D:\\02_AI_and_Data\\Kaggle-AI-Agents\\PTCG_AI_Battle_Challenge\\data\\competitive\\actor_relative_search_expert_dataset.jsonl""]",False,[20.0],False,True,True,True,True,ADDITIONAL_SOURCE_BACKED_MOVE
