candidate_number,card_name,move_name,declared_damage,initial_player_hp,initial_opponent_hp,actual_player_hp,actual_opponent_hp,damage_applied,returned_battle_state,returned_new_state,original_state_unchanged,expected_damage_applied,expected_hp_reached,player_hp_unchanged,turn_advanced,side_switched,hp_nonnegative,transition_passed,error_type,error_message,source_files
1,Bulbasaur,[0.28 0.2 1. 0. 0. 0. 0. 1.73],46.0,200.0,500.0,200.0,454.0,46.0,True,True,True,True,True,True,True,True,True,True,,,"[""D:\\02_AI_and_Data\\Kaggle-AI-Agents\\PTCG_AI_Battle_Challenge\\data\\competitive\\actor_relative_search_expert_dataset.parquet""]"
2,Bulbasaur,"[0.28, 0.2, 1.0, 0.0, 0.0, 0.0, 0.0, 1.73]",46.0,200.0,500.0,200.0,454.0,46.0,True,True,True,True,True,True,True,True,True,True,,,"[""D:\\02_AI_and_Data\\Kaggle-AI-Agents\\PTCG_AI_Battle_Challenge\\data\\competitive\\actor_relative_search_expert_dataset.jsonl""]"
3,Bulbasaur,[0.12 0.1 0. 0. 0. 0. 0. 0.52],30.0,200.0,500.0,200.0,470.0,30.0,True,True,True,True,True,True,True,True,True,True,,,"[""D:\\02_AI_and_Data\\Kaggle-AI-Agents\\PTCG_AI_Battle_Challenge\\data\\competitive\\actor_relative_search_expert_dataset.parquet""]"
4,Bulbasaur,"[0.12, 0.1, 0.0, 0.0, 0.0, 0.0, 0.0, 0.52]",30.0,200.0,500.0,200.0,470.0,30.0,True,True,True,True,True,True,True,True,True,True,,,"[""D:\\02_AI_and_Data\\Kaggle-AI-Agents\\PTCG_AI_Battle_Challenge\\data\\competitive\\actor_relative_search_expert_dataset.jsonl""]"
5,Bulbasaur,[0.28 0.2 0. 0. 0. 0. 0. 0.73],30.0,200.0,500.0,200.0,470.0,30.0,True,True,True,True,True,True,True,True,True,True,,,"[""D:\\02_AI_and_Data\\Kaggle-AI-Agents\\PTCG_AI_Battle_Challenge\\data\\competitive\\actor_relative_search_expert_dataset.parquet""]"
6,Bulbasaur,"[0.28, 0.2, 0.0, 0.0, 0.0, 0.0, 0.0, 0.73]",30.0,200.0,500.0,200.0,470.0,30.0,True,True,True,True,True,True,True,True,True,True,,,"[""D:\\02_AI_and_Data\\Kaggle-AI-Agents\\PTCG_AI_Battle_Challenge\\data\\competitive\\actor_relative_search_expert_dataset.jsonl""]"
7,Bulbasaur,[0.12 0.1 1. 0. 0. 0. 0. 1.52],28.0,200.0,500.0,200.0,472.0,28.0,True,True,True,True,True,True,True,True,True,True,,,"[""D:\\02_AI_and_Data\\Kaggle-AI-Agents\\PTCG_AI_Battle_Challenge\\data\\competitive\\actor_relative_search_expert_dataset.parquet""]"
8,Bulbasaur,"[0.12, 0.1, 1.0, 0.0, 0.0, 0.0, 0.0, 1.52]",28.0,200.0,500.0,200.0,472.0,28.0,True,True,True,True,True,True,True,True,True,True,,,"[""D:\\02_AI_and_Data\\Kaggle-AI-Agents\\PTCG_AI_Battle_Challenge\\data\\competitive\\actor_relative_search_expert_dataset.jsonl""]"
9,Charmander,[0.08 0.1 0. 0. 0. 0. 0. 0.38],50.0,200.0,500.0,200.0,450.0,50.0,True,True,True,True,True,True,True,True,True,True,,,"[""D:\\02_AI_and_Data\\Kaggle-AI-Agents\\PTCG_AI_Battle_Challenge\\data\\competitive\\actor_relative_search_expert_dataset.parquet""]"
10,Charmander,"[0.08, 0.1, 0.0, 0.0, 0.0, 0.0, 0.0, 0.38]",50.0,200.0,500.0,200.0,450.0,50.0,True,True,True,True,True,True,True,True,True,True,,,"[""D:\\02_AI_and_Data\\Kaggle-AI-Agents\\PTCG_AI_Battle_Challenge\\data\\competitive\\actor_relative_search_expert_dataset.jsonl""]"
11,Charmander,[0.2 0.2 0. 0. 0. 0. 0. 0.55],50.0,200.0,500.0,200.0,450.0,50.0,True,True,True,True,True,True,True,True,True,True,,,"[""D:\\02_AI_and_Data\\Kaggle-AI-Agents\\PTCG_AI_Battle_Challenge\\data\\competitive\\actor_relative_search_expert_dataset.parquet""]"
