scenario_id,condition_id,transcript
T52_S001__BASELINE,BASELINE,"======================================================================
POKÉMON AI BATTLE TRANSCRIPT
======================================================================
Turn 1: Player — Bulbasaur used Bind Down
  Damage: 10.0
  Search score: 1.00
  Search depth: 0
  Nodes searched: 1
  HP after move — Player: 80.0, Opponent: 40.0
  Next side: Opponent
----------------------------------------------------------------------
Turn 2: Opponent — Eevee used Quick Attack
  Damage: 20.0
  Search score: 0.87
  Search depth: 0
  Nodes searched: 1
  HP after move — Player: 60.0, Opponent: 40.0
  Next side: Player
----------------------------------------------------------------------
Turn 3: Player — Bulbasaur used Bind Down
  Damage: 10.0
  Search score: 1.00
  Search depth: 0
  Nodes searched: 1
  HP after move — Player: 60.0, Opponent: 30.0
  Next side: Opponent
----------------------------------------------------------------------
Turn 4: Opponent — Eevee used Quick Attack
  Damage: 20.0
  Search score: 0.87
  Search depth: 0
  Nodes searched: 1
  HP after move — Player: 40.0, Opponent: 30.0
  Next side: Player
----------------------------------------------------------------------
Turn 5: Player — Bulbasaur used Bind Down
  Damage: 10.0
  Search score: 1.00
  Search depth: 0
  Nodes searched: 1
  HP after move — Player: 40.0, Opponent: 20.0
  Next side: Opponent
----------------------------------------------------------------------
Turn 6: Opponent — Eevee used Quick Attack
  Damage: 20.0
  Search score: 0.98
  Search depth: 0
  Nodes searched: 1
  HP after move — Player: 20.0, Opponent: 20.0
  Next side: Player
----------------------------------------------------------------------
Turn 7: Player — Bulbasaur used Bind Down
  Damage: 10.0
  Search score: 1.00
  Search depth: 0
  Nodes searched: 1
  HP after move — Player: 20.0, Opponent: 10.0
  Next side: Opponent
----------------------------------------------------------------------
Turn 8: Opponent — Eevee used Quick Attack
  Damage: 20.0
  Search score: 1.00
  Search depth: 0
  Nodes searched: 1
  HP after move — Player: 0.0, Opponent: 10.0
  Next side: Player
----------------------------------------------------------------------
Winner: Opponent
Stop reason: Battle reached a terminal state."
T52_S001__HP_PRESSURE,HP_PRESSURE,"======================================================================
POKÉMON AI BATTLE TRANSCRIPT
======================================================================
Turn 1: Player — Bulbasaur used Bind Down
  Damage: 10.0
  Search score: 1.00
  Search depth: 0
  Nodes searched: 1
  HP after move — Player: 40.0, Opponent: 40.0
  Next side: Opponent
----------------------------------------------------------------------
Turn 2: Opponent — Eevee used Quick Attack
  Damage: 20.0
  Search score: 0.98
  Search depth: 0
  Nodes searched: 1
  HP after move — Player: 20.0, Opponent: 40.0
  Next side: Player
----------------------------------------------------------------------
Turn 3: Player — Bulbasaur used Bind Down
  Damage: 10.0
  Search score: 1.00
  Search depth: 0
  Nodes searched: 1
  HP after move — Player: 20.0, Opponent: 30.0
  Next side: Opponent
----------------------------------------------------------------------
Turn 4: Opponent — Eevee used Quick Attack
  Damage: 20.0
  Search score: 0.99
  Search depth: 0
  Nodes searched: 1
  HP after move — Player: 0.0, Opponent: 30.0
  Next side: Player
----------------------------------------------------------------------
Winner: Opponent
Stop reason: Battle reached a terminal state."
T52_S001__ENERGY_PRESSURE,ENERGY_PRESSURE,"======================================================================
POKÉMON AI BATTLE TRANSCRIPT
======================================================================
Turn 1: Player — Bulbasaur used Bind Down
  Damage: 10.0
  Search score: 1.00
  Search depth: 0
  Nodes searched: 1
  HP after move — Player: 80.0, Opponent: 40.0
  Next side: Opponent
----------------------------------------------------------------------
Turn 2: Opponent — Eevee used Ascension
  Damage: 0.0
  Search score: 1.00
  Search depth: 0
  Nodes searched: 1
  HP after move — Player: 80.0, Opponent: 40.0
  Next side: Player
----------------------------------------------------------------------
Turn 3: Player — Bulbasaur used Bind Down
  Damage: 10.0
  Search score: 1.00
  Search depth: 0
  Nodes searched: 1
  HP after move — Player: 80.0, Opponent: 30.0
  Next side: Opponent
----------------------------------------------------------------------
Turn 4: Opponent — Eevee used Ascension
  Damage: 0.0
  Search score: 1.00
  Search depth: 0
  Nodes searched: 1
  HP after move — Player: 80.0, Opponent: 30.0
  Next side: Player
----------------------------------------------------------------------
Turn 5: Player — Bulbasaur used Bind Down
  Damage: 10.0
  Search score: 1.00
  Search depth: 0
  Nodes searched: 1
  HP after move — Player: 80.0, Opponent: 20.0
  Next side: Opponent
----------------------------------------------------------------------
Turn 6: Opponent — Eevee used Ascension
  Damage: 0.0
  Search score: 1.00
  Search depth: 0
  Nodes searched: 1
  HP after move — Player: 80.0, Opponent: 20.0
  Next side: Player
----------------------------------------------------------------------
Turn 7: Player — Bulbasaur used Bind Down
  Damage: 10.0
  Search score: 1.00
  Search depth: 0
  Nodes searched: 1
  HP after move — Player: 80.0, Opponent: 10.0
  Next side: Opponent
----------------------------------------------------------------------
Turn 8: Opponent — Eevee used Ascension
  Damage: 0.0
  Search score: 1.00
  Search depth: 0
  Nodes searched: 1
  HP after move — Player: 80.0, Opponent: 10.0
  Next side: Player
----------------------------------------------------------------------
Turn 9: Player — Bulbasaur used Bind Down
  Damage: 10.0
  Search score: 1.00
  Search depth: 0
  Nodes searched: 1
  HP after move — Player: 80.0, Opponent: 0.0
  Next side: Opponent
----------------------------------------------------------------------
Winner: Player
Stop reason: Battle reached a terminal state."
T52_S002__BASELINE,BASELINE,"======================================================================
POKÉMON AI BATTLE TRANSCRIPT
======================================================================
Turn 1: Opponent — Eevee used Quick Attack
  Damage: 20.0
  Search score: 0.86
  Search depth: 0
  Nodes searched: 1
  HP after move — Player: 60.0, Opponent: 50.0
  Next side: Player
----------------------------------------------------------------------
Turn 2: Player — Bulbasaur used Bind Down
  Damage: 10.0
  Search score: 1.00
  Search depth: 0
  Nodes searched: 1
  HP after move — Player: 60.0, Opponent: 40.0
  Next side: Opponent
----------------------------------------------------------------------
Turn 3: Opponent — Eevee used Quick Attack
  Damage: 20.0
  Search score: 0.89
  Search depth: 0
  Nodes searched: 1
  HP after move — Player: 40.0, Opponent: 40.0
  Next side: Player
----------------------------------------------------------------------
Turn 4: Player — Bulbasaur used Bind Down
  Damage: 10.0
  Search score: 1.00
  Search depth: 0
  Nodes searched: 1
  HP after move — Player: 40.0, Opponent: 30.0
  Next side: Opponent
----------------------------------------------------------------------
Turn 5: Opponent — Eevee used Quick Attack
  Damage: 20.0
  Search score: 0.99
  Search depth: 0
  Nodes searched: 1
  HP after move — Player: 20.0, Opponent: 30.0
  Next side: Player
----------------------------------------------------------------------
Turn 6: Player — Bulbasaur used Bind Down
  Damage: 10.0
  Search score: 1.00
  Search depth: 0
  Nodes searched: 1
  HP after move — Player: 20.0, Opponent: 20.0
  Next side: Opponent
----------------------------------------------------------------------
Turn 7: Opponent — Eevee used Quick Attack
  Damage: 20.0
  Search score: 1.00
  Search depth: 0
  Nodes searched: 1
  HP after move — Player: 0.0, Opponent: 20.0
  Next side: Player
----------------------------------------------------------------------
Winner: Opponent
Stop reason: Battle reached a terminal state."
T52_S002__HP_PRESSURE,HP_PRESSURE,"======================================================================
POKÉMON AI BATTLE TRANSCRIPT
======================================================================
Turn 1: Opponent — Eevee used Quick Attack
  Damage: 20.0
  Search score: 0.96
  Search depth: 0
  Nodes searched: 1
  HP after move — Player: 20.0, Opponent: 50.0
  Next side: Player
----------------------------------------------------------------------
Turn 2: Player — Bulbasaur used Bind Down
  Damage: 10.0
  Search score: 1.00
  Search depth: 0
  Nodes searched: 1
  HP after move — Player: 20.0, Opponent: 40.0
  Next side: Opponent
----------------------------------------------------------------------
Turn 3: Opponent — Eevee used Quick Attack
  Damage: 20.0
  Search score: 0.99
  Search depth: 0
  Nodes searched: 1
  HP after move — Player: 0.0, Opponent: 40.0
  Next side: Player
----------------------------------------------------------------------
Winner: Opponent
Stop reason: Battle reached a terminal state."
T52_S002__ENERGY_PRESSURE,ENERGY_PRESSURE,"======================================================================
POKÉMON AI BATTLE TRANSCRIPT
======================================================================
Turn 1: Opponent — Eevee used Ascension
  Damage: 0.0
  Search score: 1.00
  Search depth: 0
  Nodes searched: 1
  HP after move — Player: 80.0, Opponent: 50.0
  Next side: Player
----------------------------------------------------------------------
Turn 2: Player — Bulbasaur used Bind Down
  Damage: 10.0
  Search score: 1.00
  Search depth: 0
  Nodes searched: 1
  HP after move — Player: 80.0, Opponent: 40.0
  Next side: Opponent
----------------------------------------------------------------------
Turn 3: Opponent — Eevee used Ascension
  Damage: 0.0
  Search score: 1.00
  Search depth: 0
  Nodes searched: 1
  HP after move — Player: 80.0, Opponent: 40.0
  Next side: Player
----------------------------------------------------------------------
Turn 4: Player — Bulbasaur used Bind Down
  Damage: 10.0
  Search score: 1.00
  Search depth: 0
  Nodes searched: 1
  HP after move — Player: 80.0, Opponent: 30.0
  Next side: Opponent
----------------------------------------------------------------------
Turn 5: Opponent — Eevee used Ascension
  Damage: 0.0
  Search score: 1.00
  Search depth: 0
  Nodes searched: 1
  HP after move — Player: 80.0, Opponent: 30.0
  Next side: Player
----------------------------------------------------------------------
Turn 6: Player — Bulbasaur used Bind Down
  Damage: 10.0
  Search score: 1.00
  Search depth: 0
  Nodes searched: 1
  HP after move — Player: 80.0, Opponent: 20.0
  Next side: Opponent
----------------------------------------------------------------------
Turn 7: Opponent — Eevee used Ascension
  Damage: 0.0
  Search score: 1.00
  Search depth: 0
  Nodes searched: 1
  HP after move — Player: 80.0, Opponent: 20.0
  Next side: Player
----------------------------------------------------------------------
Turn 8: Player — Bulbasaur used Bind Down
  Damage: 10.0
  Search score: 1.00
  Search depth: 0
  Nodes searched: 1
  HP after move — Player: 80.0, Opponent: 10.0
  Next side: Opponent
----------------------------------------------------------------------
Turn 9: Opponent — Eevee used Ascension
  Damage: 0.0
  Search score: 1.00
  Search depth: 0
  Nodes searched: 1
  HP after move — Player: 80.0, Opponent: 10.0
  Next side: Player
----------------------------------------------------------------------
Turn 10: Player — Bulbasaur used Bind Down
  Damage: 10.0
  Search score: 1.00
  Search depth: 0
  Nodes searched: 1
  HP after move — Player: 80.0, Opponent: 0.0
  Next side: Opponent
----------------------------------------------------------------------
Winner: Player
Stop reason: Battle reached a terminal state."
T52_S003__BASELINE,BASELINE,"======================================================================
POKÉMON AI BATTLE TRANSCRIPT
======================================================================
Turn 1: Player — Charmander used Live Coal
  Damage: 20.0
  Search score: 1.00
  Search depth: 0
  Nodes searched: 1
  HP after move — Player: 80.0, Opponent: 30.0
  Next side: Opponent
----------------------------------------------------------------------
Turn 2: Opponent — Eevee used Quick Attack
  Damage: 20.0
  Search score: 0.87
  Search depth: 0
  Nodes searched: 1
  HP after move — Player: 60.0, Opponent: 30.0
  Next side: Player
----------------------------------------------------------------------
Turn 3: Player — Charmander used Live Coal
  Damage: 20.0
  Search score: 1.00
  Search depth: 0
  Nodes searched: 1
  HP after move — Player: 60.0, Opponent: 10.0
  Next side: Opponent
----------------------------------------------------------------------
Turn 4: Opponent — Eevee used Quick Attack
  Damage: 20.0
  Search score: 0.87
  Search depth: 0
  Nodes searched: 1
  HP after move — Player: 40.0, Opponent: 10.0
  Next side: Player
----------------------------------------------------------------------
Turn 5: Player — Charmander used Live Coal
  Damage: 20.0
  Search score: 1.00
  Search depth: 0
  Nodes searched: 1
  HP after move — Player: 40.0, Opponent: 0.0
  Next side: Opponent
----------------------------------------------------------------------
Winner: Player
Stop reason: Battle reached a terminal state."
T52_S003__HP_PRESSURE,HP_PRESSURE,"======================================================================
POKÉMON AI BATTLE TRANSCRIPT
======================================================================
Turn 1: Player — Charmander used Live Coal
  Damage: 20.0
  Search score: 1.00
  Search depth: 0
  Nodes searched: 1
  HP after move — Player: 40.0, Opponent: 30.0
  Next side: Opponent
----------------------------------------------------------------------
Turn 2: Opponent — Eevee used Quick Attack
  Damage: 20.0
  Search score: 0.97
  Search depth: 0
  Nodes searched: 1
  HP after move — Player: 20.0, Opponent: 30.0
  Next side: Player
----------------------------------------------------------------------
Turn 3: Player — Charmander used Live Coal
  Damage: 20.0
  Search score: 1.00
  Search depth: 0
  Nodes searched: 1
  HP after move — Player: 20.0, Opponent: 10.0
  Next side: Opponent
----------------------------------------------------------------------
Turn 4: Opponent — Eevee used Quick Attack
  Damage: 20.0
  Search score: 0.97
  Search depth: 0
  Nodes searched: 1
  HP after move — Player: 0.0, Opponent: 10.0
  Next side: Player
----------------------------------------------------------------------
Winner: Opponent
Stop reason: Battle reached a terminal state."
T52_S003__ENERGY_PRESSURE,ENERGY_PRESSURE,"======================================================================
POKÉMON AI BATTLE TRANSCRIPT
======================================================================
Turn 1: Player — Charmander used Live Coal
  Damage: 20.0
  Search score: 1.00
  Search depth: 0
  Nodes searched: 1
  HP after move — Player: 80.0, Opponent: 30.0
  Next side: Opponent
----------------------------------------------------------------------
Turn 2: Opponent — Eevee used Ascension
  Damage: 0.0
  Search score: 1.00
  Search depth: 0
  Nodes searched: 1
  HP after move — Player: 80.0, Opponent: 30.0
  Next side: Player
----------------------------------------------------------------------
Turn 3: Player — Charmander used Live Coal
  Damage: 20.0
  Search score: 1.00
  Search depth: 0
  Nodes searched: 1
  HP after move — Player: 80.0, Opponent: 10.0
  Next side: Opponent
----------------------------------------------------------------------
Turn 4: Opponent — Eevee used Ascension
  Damage: 0.0
  Search score: 1.00
  Search depth: 0
  Nodes searched: 1
  HP after move — Player: 80.0, Opponent: 10.0
  Next side: Player
----------------------------------------------------------------------
Turn 5: Player — Charmander used Live Coal
  Damage: 20.0
  Search score: 1.00
  Search depth: 0
  Nodes searched: 1
  HP after move — Player: 80.0, Opponent: 0.0
  Next side: Opponent
----------------------------------------------------------------------
Winner: Player
Stop reason: Battle reached a terminal state."
T52_S004__BASELINE,BASELINE,"======================================================================
POKÉMON AI BATTLE TRANSCRIPT
======================================================================
Turn 1: Opponent — Eevee used Quick Attack
  Damage: 20.0
  Search score: 0.86
  Search depth: 0
  Nodes searched: 1
  HP after move — Player: 60.0, Opponent: 50.0
  Next side: Player
----------------------------------------------------------------------
Turn 2: Player — Charmander used Live Coal
  Damage: 20.0
  Search score: 1.00
  Search depth: 0
  Nodes searched: 1
  HP after move — Player: 60.0, Opponent: 30.0
  Next side: Opponent
----------------------------------------------------------------------
Turn 3: Opponent — Eevee used Quick Attack
  Damage: 20.0
  Search score: 0.87
  Search depth: 0
  Nodes searched: 1
  HP after move — Player: 40.0, Opponent: 30.0
  Next side: Player
----------------------------------------------------------------------
Turn 4: Player — Charmander used Live Coal
  Damage: 20.0
  Search score: 1.00
  Search depth: 0
  Nodes searched: 1
  HP after move — Player: 40.0, Opponent: 10.0
  Next side: Opponent
----------------------------------------------------------------------
Turn 5: Opponent — Eevee used Quick Attack
  Damage: 20.0
  Search score: 0.96
  Search depth: 0
  Nodes searched: 1
  HP after move — Player: 20.0, Opponent: 10.0
  Next side: Player
----------------------------------------------------------------------
Turn 6: Player — Charmander used Live Coal
  Damage: 20.0
  Search score: 1.00
  Search depth: 0
  Nodes searched: 1
  HP after move — Player: 20.0, Opponent: 0.0
  Next side: Opponent
----------------------------------------------------------------------
Winner: Player
Stop reason: Battle reached a terminal state."
