cell_index,line_number,matched_terms,source_line
1,45,target,NOTEBOOK52_OPTIMIZATION_TARGETS_FILE = (
1,47,target,"/ ""section7a_optimization_targets.csv"""
1,96,target,"""optimization_targets"":"
1,97,target,"NOTEBOOK52_OPTIMIZATION_TARGETS_FILE,"
1,257,target,notebook52_optimization_targets_df = pd.read_csv(
1,258,target,NOTEBOOK52_OPTIMIZATION_TARGETS_FILE
1,352,target,primary_optimization_target = str(
1,354,target,"""primary_optimization_target"""
1,471,target,assert primary_optimization_target == (
1,502,target,"print(""NOTEBOOK 52 OPTIMIZATION TARGETS"")"
1,506,target,notebook52_optimization_targets_df
1,603,target,"""metric"": ""primary_optimization_target"","
1,604,target,"""value"": primary_optimization_target,"
1,654,target,"""primary_optimization_target"":"
1,655,target,"primary_optimization_target,"
2,202,selected_move,"""selected_move"","
2,245,selected_move,"""normalized_selected_move"""
2,247,selected_move,"""selected_move"""
2,286,selected_move,"""normalized_selected_move"""
2,539,selected_move,"""selected_move"","
2,614,selected_move,"""selected_move"","
2,704,selected_move,"""selected_move"","
2,775,selected_move,"""selected_move"","
2,854,selected_move,"""selected_move"","
2,898,selected_move,"""selected_move"""
2,1019,selected_move,"""selected_move"","
2,1024,selected_move,"""selected_move"","
2,1109,selected_move,"""selected_move"","
2,1524,selected_move,"""selected_move"""
3,64,target,"target_column: str,"
3,69,target,Ensure that target_column exists as numeric data.
3,75,target,if target_column in dataframe.columns:
3,77,target,dataframe[target_column] = pd.to_numeric(
3,78,target,"dataframe[target_column],"
3,88,target,dataframe[target_column] = pd.to_numeric(
3,94,target,"f""Restored {target_column!r} from """
3,100,target,dataframe[target_column] = pd.Series(
3,107,target,"f""Created unavailable feature {target_column!r} """
3,367,selected_move,"""selected_move"","
3,717,selected_move,"""selected_move"""
4,76,selected_move,"""normalized_selected_move"""
4,78,selected_move,"""selected_move"""
4,193,selected_move,existing_selected_move = row[
4,194,selected_move,"""selected_move"""
4,241,selected_move,existing_selected_move
4,309,selected_move,"""normalized_selected_move"""
4,550,selected_move,"""normalized_selected_move"""
