source_type,candidate_name,candidate_path,rows,columns,scenario_id_column,unique_scenarios,build_test_passed,build_test_error
REPORT,section4r_verified_action_decision_data.csv,D:\02_AI_and_Data\Kaggle-AI-Agents\PTCG_AI_Battle_Challenge\reports\notebook54\section4\section4r_verified_action_decision_data.csv,210,35,scenario_id,24,False,KeyError: 'player_card'
REPORT,section4r_verified_attack_energy_readiness.csv,D:\02_AI_and_Data\Kaggle-AI-Agents\PTCG_AI_Battle_Challenge\reports\notebook54\section4\section4r_verified_attack_energy_readiness.csv,269,16,scenario_id,24,False,KeyError: 'player_card'
REPORT,section4s_repaired_attack_energy_readiness.csv,D:\02_AI_and_Data\Kaggle-AI-Agents\PTCG_AI_Battle_Challenge\reports\notebook54\section4\section4s_repaired_attack_energy_readiness.csv,269,17,scenario_id,24,False,KeyError: 'player_card'
REPORT,section4s_repaired_energy_decision_data.csv,D:\02_AI_and_Data\Kaggle-AI-Agents\PTCG_AI_Battle_Challenge\reports\notebook54\section4\section4s_repaired_energy_decision_data.csv,210,38,scenario_id,24,False,KeyError: 'player_card'
REPORT,section4u_sample_instrumentation_record.csv,D:\02_AI_and_Data\Kaggle-AI-Agents\PTCG_AI_Battle_Challenge\reports\notebook54\section4\section4u_sample_instrumentation_record.csv,1,22,scenario_id,1,False,KeyError: 'player_card'
REPORT,section4vb_instrumented_battle_results.csv,D:\02_AI_and_Data\Kaggle-AI-Agents\PTCG_AI_Battle_Challenge\reports\notebook54\section4\section4vb_instrumented_battle_results.csv,24,23,scenario_id,24,False,KeyError: 'player_card'
REPORT,section4vb_instrumented_energy_history.csv,D:\02_AI_and_Data\Kaggle-AI-Agents\PTCG_AI_Battle_Challenge\reports\notebook54\section4\section4vb_instrumented_energy_history.csv,180,39,scenario_id,24,False,KeyError: 'player_card'
REPORT,section4vb_instrumented_turn_records.csv,D:\02_AI_and_Data\Kaggle-AI-Agents\PTCG_AI_Battle_Challenge\reports\notebook54\section4\section4vb_instrumented_turn_records.csv,180,14,scenario_id,24,False,KeyError: 'player_card'
REPORT,section4wb_multi_choice_breakdown.csv,D:\02_AI_and_Data\Kaggle-AI-Agents\PTCG_AI_Battle_Challenge\reports\notebook54\section4\section4wb_multi_choice_breakdown.csv,23,14,scenario_id,10,False,KeyError: 'player_card'
REPORT,section4wb_scenario_opportunity_profile.csv,D:\02_AI_and_Data\Kaggle-AI-Agents\PTCG_AI_Battle_Challenge\reports\notebook54\section4\section4wb_scenario_opportunity_profile.csv,24,15,scenario_id,24,False,KeyError: 'player_card'
