path,rows,columns,card_columns,move_columns,damage_columns,energy_columns,hp_columns,effect_columns,has_move_related_column
D:\02_AI_and_Data\Kaggle-AI-Agents\PTCG_AI_Battle_Challenge\reports\notebook54\section3\section3b_discovered_move_records.csv,14599,6,"[""card_name"", ""move_name""]","[""move_name""]","[""damage""]","[""energy_cost""]",[],"[""effect_text""]",True
D:\02_AI_and_Data\Kaggle-AI-Agents\PTCG_AI_Battle_Challenge\reports\notebook34\policy_dataset_bootstrap.csv,3500,16,"[""pokemon_name"", ""move_name""]","[""move_name""]",[],[],"[""player_hp"", ""opponent_hp""]",[],True
D:\02_AI_and_Data\Kaggle-AI-Agents\PTCG_AI_Battle_Challenge\reports\notebook34\policy_dataset_bootstrap.parquet,3500,16,"[""pokemon_name"", ""move_name""]","[""move_name""]",[],[],"[""player_hp"", ""opponent_hp""]",[],True
D:\02_AI_and_Data\Kaggle-AI-Agents\PTCG_AI_Battle_Challenge\reports\notebook49\section8\batch_search\section8b_search_labels.jsonl,2120,33,"[""variant_name"", ""baseline_name"", ""player_card"", ""opponent_card"", ""prize_cards_remaining""]","[""legal_move_count"", ""legal_move_reprs"", ""search_best_move_repr"", ""search_best_move_key""]","[""player_damage"", ""opponent_damage""]","[""player_energy"", ""opponent_energy""]",[],[],True
D:\02_AI_and_Data\Kaggle-AI-Agents\PTCG_AI_Battle_Challenge\notebooks\data\processed\pokemon_cards_processed.csv,2022,43,"[""Card ID"", ""Card Name"", ""Move Name"", ""is_pokemon"", ""card_category""]","[""Move Name"", ""attack_power_score"", ""has_attack"", ""has_ability""]","[""Damage"", ""damage_numeric"", ""attack_power_score""]","[""Stage (Pokémon)/Type (Energy and Trainer)"", ""Cost"", ""energy_cost"", ""is_energy""]","[""HP"", ""hp_numeric""]","[""Effect Explanation""]",True
D:\02_AI_and_Data\Kaggle-AI-Agents\PTCG_AI_Battle_Challenge\data\processed\pokemon_cards_processed.csv,2022,43,"[""Card ID"", ""Card Name"", ""Move Name"", ""is_pokemon"", ""card_category""]","[""Move Name"", ""attack_power_score"", ""has_attack"", ""has_ability""]","[""Damage"", ""damage_numeric"", ""attack_power_score""]","[""Stage (Pokémon)/Type (Energy and Trainer)"", ""Cost"", ""energy_cost"", ""is_energy""]","[""HP"", ""hp_numeric""]","[""Effect Explanation""]",True
D:\02_AI_and_Data\Kaggle-AI-Agents\PTCG_AI_Battle_Challenge\notebooks\data\raw\EN_Card_Data.csv,2022,17,"[""Card ID"", ""Card Name"", ""Move Name""]","[""Move Name""]","[""Damage""]","[""Stage (Pokémon)/Type (Energy and Trainer)"", ""Cost""]","[""HP""]","[""Effect Explanation""]",True
D:\02_AI_and_Data\Kaggle-AI-Agents\PTCG_AI_Battle_Challenge\data\raw\EN_Card_Data.csv,2022,17,"[""Card ID"", ""Card Name"", ""Move Name""]","[""Move Name""]","[""Damage""]","[""Stage (Pokémon)/Type (Energy and Trainer)"", ""Cost""]","[""HP""]","[""Effect Explanation""]",True
D:\02_AI_and_Data\Kaggle-AI-Agents\PTCG_AI_Battle_Challenge\reports\notebook54\section4\section4h_pdf_page_scan_profile.csv,1306,7,"[""matched_cards""]","[""extraction_error_type"", ""extraction_error_message""]",[],[],[],"[""text_character_count"", ""text_layer_available""]",True
D:\02_AI_and_Data\Kaggle-AI-Agents\PTCG_AI_Battle_Challenge\reports\notebook54\section4\section4a_tournament_card_move_records.csv,1264,14,"[""card_name"", ""move_name"", ""normalized_card_name"", ""normalized_move_name"", ""source_file_name"", ""move_name_valid""]","[""move_name"", ""normalized_move_name"", ""move_name_valid""]","[""damage"", ""parsed_damage"", ""damage_valid""]","[""energy_cost""]",[],"[""effect_text""]",True
D:\02_AI_and_Data\Kaggle-AI-Agents\PTCG_AI_Battle_Challenge\reports\notebook54\section4\section4a_simulator_supported_move_records.csv,1069,15,"[""card_name"", ""move_name"", ""normalized_card_name"", ""normalized_move_name"", ""source_file_name"", ""move_name_valid""]","[""move_name"", ""normalized_move_name"", ""move_name_valid"", ""is_existing_benchmark_move""]","[""damage"", ""parsed_damage"", ""damage_valid""]","[""energy_cost""]",[],"[""effect_text""]",True
D:\02_AI_and_Data\Kaggle-AI-Agents\PTCG_AI_Battle_Challenge\reports\notebook53\section4\section4b_legality_aware_training_metadata.csv,1060,12,"[""baseline_name""]","[""expert_move""]",[],[],[],[],True
D:\02_AI_and_Data\Kaggle-AI-Agents\PTCG_AI_Battle_Challenge\reports\notebook49\section8\policy_dataset\section8c_expert_policy_dataset.jsonl,1060,37,"[""variant_name"", ""baseline_name"", ""player_card"", ""opponent_card"", ""prize_cards_remaining""]","[""legal_move_count"", ""legal_moves"", ""expert_move"", ""expert_move_key""]","[""player_damage"", ""opponent_damage""]","[""player_energy"", ""opponent_energy""]",[],[],True
