expanded_pair_id,source_pair_id,source_scenario_id,source_condition_id,source_turn_number,expansion_variant_id,evaluation_batch_number,acting_card,opposing_card,acting_energy,opposing_energy,legal_moves,opponent_selected_move,player_selected_move,selected_move_agreement,opponent_confidence,player_confidence,confidence_difference_player_minus_opponent,absolute_confidence_difference,opponent_routing_reason,player_routing_reason,routing_reason_agreement,opponent_move_legal,player_move_legal,legality_agreement,opponent_fallback_used,player_fallback_used,fallback_agreement,context_match,pair_valid
4WE_PAIR_001_V01,4WC_PAIR_001,T52_S001__BASELINE,BASELINE,2,OBSERVED_ENERGY_CONTEXT,3,Eevee,Bulbasaur,3,3,"['Ascension', 'Quick Attack']",Quick Attack,Quick Attack,True,0.866,0.868,0.0020000000000000018,0.0020000000000000018,LEGAL_MODEL_PREDICTION,LEGAL_MODEL_PREDICTION,True,True,True,True,False,False,True,True,True
4WE_PAIR_001_V02,4WC_PAIR_001,T52_S001__BASELINE,BASELINE,2,MINIMUM_MULTI_ACTION_ENERGY,2,Eevee,Bulbasaur,2,3,"['Ascension', 'Quick Attack']",Quick Attack,Quick Attack,True,0.838,0.84,0.0020000000000000018,0.0020000000000000018,LEGAL_MODEL_PREDICTION,LEGAL_MODEL_PREDICTION,True,True,True,True,False,False,True,True,True
4WE_PAIR_001_V03,4WC_PAIR_001,T52_S001__BASELINE,BASELINE,2,SYMMETRIC_TWO_ENERGY,4,Eevee,Bulbasaur,2,2,"['Ascension', 'Quick Attack']",Quick Attack,Quick Attack,True,0.838,0.84,0.0020000000000000018,0.0020000000000000018,LEGAL_MODEL_PREDICTION,LEGAL_MODEL_PREDICTION,True,True,True,True,False,False,True,True,True
4WE_PAIR_001_V04,4WC_PAIR_001,T52_S001__BASELINE,BASELINE,2,EEVEE_ENERGY_ADVANTAGE,1,Eevee,Bulbasaur,3,2,"['Ascension', 'Quick Attack']",Quick Attack,Quick Attack,True,0.866,0.868,0.0020000000000000018,0.0020000000000000018,LEGAL_MODEL_PREDICTION,LEGAL_MODEL_PREDICTION,True,True,True,True,False,False,True,True,True
4WE_PAIR_002_V01,4WC_PAIR_002,T52_S001__BASELINE,BASELINE,4,OBSERVED_ENERGY_CONTEXT,3,Eevee,Bulbasaur,3,3,"['Ascension', 'Quick Attack']",Quick Attack,Quick Attack,True,0.866,0.868,0.0020000000000000018,0.0020000000000000018,LEGAL_MODEL_PREDICTION,LEGAL_MODEL_PREDICTION,True,True,True,True,False,False,True,True,True
4WE_PAIR_002_V02,4WC_PAIR_002,T52_S001__BASELINE,BASELINE,4,MINIMUM_MULTI_ACTION_ENERGY,2,Eevee,Bulbasaur,2,3,"['Ascension', 'Quick Attack']",Quick Attack,Quick Attack,True,0.838,0.84,0.0020000000000000018,0.0020000000000000018,LEGAL_MODEL_PREDICTION,LEGAL_MODEL_PREDICTION,True,True,True,True,False,False,True,True,True
4WE_PAIR_002_V03,4WC_PAIR_002,T52_S001__BASELINE,BASELINE,4,SYMMETRIC_TWO_ENERGY,4,Eevee,Bulbasaur,2,2,"['Ascension', 'Quick Attack']",Quick Attack,Quick Attack,True,0.838,0.84,0.0020000000000000018,0.0020000000000000018,LEGAL_MODEL_PREDICTION,LEGAL_MODEL_PREDICTION,True,True,True,True,False,False,True,True,True
4WE_PAIR_002_V04,4WC_PAIR_002,T52_S001__BASELINE,BASELINE,4,EEVEE_ENERGY_ADVANTAGE,1,Eevee,Bulbasaur,3,2,"['Ascension', 'Quick Attack']",Quick Attack,Quick Attack,True,0.866,0.868,0.0020000000000000018,0.0020000000000000018,LEGAL_MODEL_PREDICTION,LEGAL_MODEL_PREDICTION,True,True,True,True,False,False,True,True,True
4WE_PAIR_003_V01,4WC_PAIR_003,T52_S001__BASELINE,BASELINE,6,OBSERVED_ENERGY_CONTEXT,3,Eevee,Bulbasaur,3,3,"['Ascension', 'Quick Attack']",Quick Attack,Quick Attack,True,0.868,0.87,0.0020000000000000018,0.0020000000000000018,LEGAL_MODEL_PREDICTION,LEGAL_MODEL_PREDICTION,True,True,True,True,False,False,True,True,True
4WE_PAIR_003_V02,4WC_PAIR_003,T52_S001__BASELINE,BASELINE,6,MINIMUM_MULTI_ACTION_ENERGY,2,Eevee,Bulbasaur,2,3,"['Ascension', 'Quick Attack']",Quick Attack,Quick Attack,True,0.84,0.842,0.0020000000000000018,0.0020000000000000018,LEGAL_MODEL_PREDICTION,LEGAL_MODEL_PREDICTION,True,True,True,True,False,False,True,True,True
